1647843557,23.38095,110.6546,29100,457,0,100
1647843567,23.37723,110.67724,29100,457,64,100
1647843572,23.37524,110.6894,29100,457,64,100
1647843577,23.37337,110.70074,29100,457,0,100
1647843587,23.36948,110.72466,29100,457,-64,100
1647843591,23.36829,110.7319,29100,457,0,100
1647843593,23.36769,110.73554,29100,457,0,100
1647843594,23.36732,110.73782,29100,458,0,100
1647843596,23.36618,110.74458,29100,457,0,100
1647843597,23.36583,110.74682,29100,457,0,100
1647843599,23.36508,110.75134,29100,457,0,100
1647843608,23.36182,110.77128,29100,457,0,100
1647843613,23.35987,110.78303,29100,457,0,100
1647843619,23.35791,110.79478,29100,457,0,100
1647843624,23.35593,110.80695,29100,457,0,100
1647843634,23.35236,110.82868,29100,457,0,100
1647843639,23.35043,110.84042,29100,457,0,100
1647843644,23.34874,110.85083,29100,457,0,100
1647843660,23.35812,110.88536,27025,433,-21696,98
1647843664,23.35744,110.89615,24925,425,-30784,91
1647843669,23.35661,110.90543,22250,386,-30976,100
1647843675,23.35263,110.91592,17325,429,-30976,123
1647843680,23.34474,110.92432,15325,520,-22528,140
1647843691,23.3231,110.94439,12725,551,-16832,127
1647843695,23.31711,110.95592,11000,556,-21312,112
1647843701,23.3142,110.96949,9150,558,-21888,100
1647843706,23.3149,110.98338,7850,590,-15744,81
1647843716,23.30773,111.01476,7425,565,3520,75
1647843721,23.3094,111.02875,8025,531,7360,84
1647843725,23.30974,111.04041,8600,507,8448,88
1647843742,23.33031,111.07468,8175,446,-13248,79
1647843752,23.33533,111.09754,4375,442,-26752,73
1647843756,23.33752,111.10558,3225,376,-30976,87
